,time,username,likes
10212,2015-01-26 05:00:00+00,Costco,1249863
10217,2015-01-26 05:00:00+00,xcelenergy,14990
10235,2015-01-26 05:00:00+00,Walgreens,4377717
10251,2015-01-26 05:00:00+00,Qualcomm,1237127
10285,2015-01-26 05:00:00+00,dexcom,15230
10337,2015-01-26 05:00:00+00,Broadcom,9357
10350,2015-01-26 05:00:00+00,Cerner,12581
10372,2015-01-26 05:00:00+00,dollartree,1375930
10423,2015-01-26 05:00:00+00,marriottinternational,233322
10435,2015-01-26 05:00:00+00,Kraft,37710
10439,2015-01-26 05:00:00+00,CDWCorporation,59608
10442,2015-01-26 05:00:00+00,Cintas,10805
10502,2015-01-26 05:00:00+00,illuminainc,3618
10526,2015-01-26 05:00:00+00,OfficialCSX,139592
10530,2015-01-26 05:00:00+00,EA,3530230
10549,2015-01-26 05:00:00+00,invisalign,82705
10551,2015-01-26 05:00:00+00,splunk,6675
10571,2015-01-26 05:00:00+00,LamResearchCorporation,1731
10578,2015-01-27 05:00:00+00,Cerner,12599
10626,2015-01-27 05:00:00+00,dollartree,1376235
10652,2015-01-27 05:00:00+00,Qualcomm,1237713
10692,2015-01-27 05:00:00+00,EA,3531729
10699,2015-01-27 05:00:00+00,OfficialCSX,139629
10710,2015-01-27 05:00:00+00,invisalign,82735
10716,2015-01-27 05:00:00+00,LamResearchCorporation,1734
10720,2015-01-27 05:00:00+00,eBayGlobal,3336689
10723,2015-01-27 05:00:00+00,dexcom,15266
10763,2015-01-27 05:00:00+00,illuminainc,3622
10768,2015-01-27 05:00:00+00,splunk,6681
10770,2015-01-27 05:00:00+00,xcelenergy,14992
10830,2015-01-27 05:00:00+00,lululemon,1125265
10841,2015-01-27 05:00:00+00,Copart,102876
